"Location Properties"
"Location Name = Emplacement de l'appareil"
""
"Report Properties"
"Start Time = 2024-03-13 14:54:31"
"Time Offset = -05:00:00"
"Duration = 00:01:08"
"Readings = 35"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804569"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 791538"
""
""
"Date Time","Actual Conductivity (µS/cm) (801689)","Specific Conductivity (µS/cm) (801689)","Salinity (PSU) (801689)","Resistivity (Ω⋅cm) (801689)","Density (g/cm³) (801689)","Total Dissolved Solids (ppt) (801689)","Turbidity (NTU) (805029)","Chlorophyll-a Fluorescence (RFU) (804424)","BGA-PC Fluorescence (RFU) (864349)","Temperature (°C) (804569)","Barometric Pressure (mm Hg) (804569)","Pressure (psi) (785110)","Depth (m) (785110)","External Voltage (V) (804569)","Battery Capacity (%) (804569)","Barometric Pressure (mbar) (791538)","Temperature (°C) (791538)","Latitude (°)","Longitude (°)","Marked"
"2024-03-13 14:54:31","59.743107","102.93932","0.04673444","16738.314","1.0000057","0.066855535","2.7805161","0.019892208","1.3313663","3.0299954","717.2715","-0.21401884","0.03951161","16.797224","71","956.2839","10.272085","46.01310046589187","-89.6722804535005",""
"2024-03-13 14:54:33","59.448193","102.449455","0.046503223","16821.406","1.0000052","0.066587895","1.8236039","0.020839782","1.3678759","3.0414271","717.31696","-0.16136123","0.07771158","16.796299","71","956.3445","10.2796135","46.013190134177165","-89.67224803576812",""
"2024-03-13 14:54:35","59.544765","102.7095","0.046619322","16794.102","1.000005","0.06675947","1.8497853","0.021048095","1.3684325","2.9989254","717.313","-0.12513071","0.21508047","16.788273","71","956.3392","10.262536","46.01318281056398","-89.67226681060036",""
"2024-03-13 14:54:37","59.543503","102.71867","0.0466229","16794.445","1.0000049","0.06676797","1.8097465","0.021117397","1.3700421","2.9945872","717.3146","-0.11856606","0.23228422","16.787407","71","956.3412","10.261043","46.013185293713384","-89.67224796072058",""
"2024-03-13 14:54:39","59.70036","102.94064","0.04673024","16728.45","1.0000056","0.06694841","2.6436572","0.024862805","0.24207862","3.0080132","717.327","0.22242825","0.35869914","16.81964","71","956.35785","10.242136","46.013254698752355","-89.67223578392161",""
"2024-03-13 14:54:41","59.808487","102.99772","0.04676532","16717.715","1.000006","0.06695247","3.003764","0.02563126","0.07267016","3.0307984","717.31494","0.44882834","0.5105261","16.821953","71","956.3417","10.2405815","46.01321299394143","-89.67230711250622",""
"2024-03-13 14:54:43","59.825966","103.01114","0.046772692","16714.24","1.000006","0.06695878","3.074146","0.025854506","0.012538078","3.0340052","717.314","0.48685494","0.5319957","16.823406","71","956.3405","10.239774","46.01319840291936","-89.67230587930823",""
"2024-03-13 14:54:45","59.839943","102.964195","0.046755183","16711.15","1.0000062","0.06692689","3.0242414","0.024955576","0.034227878","3.0703685","717.29974","0.73411435","0.83356184","16.782032","71","956.3216","10.230896","46.01319821227577","-89.67230938552284",""
"2024-03-13 14:54:47","59.84843","102.95988","0.046754364","16714.375","1.0000062","0.06691575","2.3622038","0.0280022","0.030969866","3.0769773","717.2922","1.1500676","1.0136055","16.795044","71","956.31146","10.21267","46.01319368877355","-89.67231001997578",""
"2024-03-13 14:54:49","59.84981","102.957726","0.046753645","16714.604","1.0000062","0.06691344","2.2863882","0.028310947","0.031004928","3.0790076","717.29083","1.2053509","1.0444912","16.795013","71","956.30963","10.210304","46.0131935613501","-89.67230073296199",""
"2024-03-13 14:54:51","59.828514","102.87976","0.046719667","16714.924","1.0000064","0.06687112","2.5811167","0.03235748","0.01626944","3.0910077","717.30475","1.40221","1.1784232","16.78769","71","956.3281","10.210025","46.013190201614584","-89.67230088475773",""
"2024-03-13 14:54:53","59.847477","102.88069","0.046722118","16709.305","1.0000066","0.06686725","3.6073456","0.027634429","0.02209326","3.1003814","717.29895","1.7212248","1.4028223","16.8107","71","956.3205","10.192618","46.01317612736908","-89.67230482817351",""
"2024-03-13 14:54:55","59.84869","102.87782","0.046721086","16708.713","1.0000066","0.06686523","3.7282395","0.027281288","0.022165367","3.1018465","717.2988","1.7622976","1.4317361","16.81283","71","956.3204","10.19077","46.013166189595665","-89.67230131718033",""
"2024-03-13 14:54:57","59.831093","102.84874","0.046707347","16713.717","1.0000066","0.06685124","3.0427186","0.028213361","0.048057474","3.0956726","717.31903","1.9775064","1.5831628","16.79729","71","956.3472","10.190158","46.01315740227771","-89.67228782274962",""
"2024-03-13 14:54:59","59.852894","102.84948","0.04671004","16707.63","1.0000068","0.066852","3.44522","0.03317757","0.028942283","3.111719","717.31384","2.1755724","1.7225518","16.82775","71","956.3403","10.19","46.01315546368372","-89.67228353304097",""
"2024-03-13 14:55:01","59.85451","102.84842","0.046709787","16707.18","1.0000068","0.06685155","3.4606903","0.033755448","0.027836828","3.1131904","717.314","2.2040868","1.7426176","16.830368","71","956.3405","10.19","46.01314092155322","-89.67229184086945",""
"2024-03-13 14:55:03","59.86779","102.88402","0.04672569","16703.473","1.0000067","0.06690016","2.7710738","0.033852726","0.028364567","3.1097035","717.3064","2.5805907","2.0076106","16.798042","71","956.3304","10.171226","46.01312602137403","-89.67230188876763",""
"2024-03-13 14:55:05","59.907455","102.91508","0.046742644","16692.414","1.0000069","0.06689724","3.1684146","0.036707003","0.03028698","3.107206","717.3128","2.798591","2.1609192","16.820723","71","956.33887","10.170315","46.01312445992131","-89.67230706794763",""
"2024-03-13 14:55:07","59.881573","102.82954","0.046705075","16699.629","1.000007","0.06684022","3.3144612","0.10988619","0.07636762","3.1310465","717.3132","3.0009835","2.3034403","16.79173","71","956.3394","10.153183","46.01312343581732","-89.67231735634884",""
"2024-03-13 14:55:09","59.880154","102.82102","0.04670146","16700.025","1.000007","0.066833526","3.3487394","0.11819617","0.08160343","3.1336346","717.31354","3.030636","2.3243139","16.789476","71","956.33984","10.1512985","46.01312782964224","-89.67231876943364",""
"2024-03-13 14:55:11","59.902508","102.89631","0.04673448","16698.03","1.000007","0.06684116","3.008479","0.10362636","0.10268031","3.1235034","717.3269","3.3299057","2.5349255","16.820002","71","956.35767","10.15034","46.01312821467656","-89.67231955344936",""
"2024-03-13 14:55:13","59.888714","102.80495","0.046695862","16698.18","1.0000072","0.06681792","3.3010764","0.08886078","0.040132906","3.1336992","717.3088","3.45814","2.625214","16.829435","71","956.3335","10.158509","46.013131324575326","-89.67231586685878",""
"2024-03-13 14:55:15","59.888157","102.79799","0.04669297","16698.082","1.0000072","0.06681586","3.3204186","0.08633043","0.033730328","3.1343477","717.30725","3.4831226","2.6428","16.831793","71","956.3315","10.159462","46.01312487531219","-89.67232975108485",""
"2024-03-13 14:55:17","59.873127","102.79175","0.046688795","16702.045","1.000007","0.066814035","3.1551924","0.14148304","0.03415662","3.138825","717.31305","3.7007966","3.0548675","16.799307","71","956.33923","10.150821","46.0131124149818","-89.6723520199118",""
"2024-03-13 14:55:19","59.85846","102.76099","0.046674695","16702.387","1.0000073","0.066781744","3.409225","0.097842254","0.091294","3.1411023","717.31323","4.4717646","3.3679397","16.820492","71","956.3395","10.132949","46.01311848541105","-89.67235442847775",""
"2024-03-13 14:55:21","59.856297","102.75763","0.046673097","16702.57","1.0000073","0.0667781","3.430596","0.095007785","0.09801584","3.1414866","717.31354","4.566946","3.4186084","16.82166","71","956.3399","10.130571","46.0131167480951","-89.67236079660154",""
"2024-03-13 14:55:23","59.879604","102.770836","0.046681","16699.871","1.0000072","0.06679997","3.1057456","0.099675775","0.03873236","3.154951","717.30646","4.6718917","3.4704182","16.806261","71","956.3305","10.13932","46.01311162982042","-89.67236543668848",""
"2024-03-13 14:55:25","59.88233","102.79421","0.046690807","16699.322","1.0000072","0.06681591","3.8827431","0.08948784","0.15584697","3.1443439","717.29285","4.8197885","3.495796","16.789516","71","956.31226","10.122137","46.01310470092623","-89.67236480153693",""
"2024-03-13 14:55:27","59.883564","102.797386","0.04669223","16699.158","1.0000072","0.066818595","3.9560032","0.08865245","0.16646741","3.1436868","717.291","4.839045","3.5003178","16.786991","71","956.3099","10.120594","46.01309641378902","-89.67237187079391",""
"2024-03-13 14:55:29","59.871403","102.73938","0.046667334","16702.89","1.0000073","0.06677378","3.6134667","0.112160005","0.18068576","3.1544514","717.34717","4.670354","3.470899","16.795406","71","956.38477","10.12934","46.01309137596231","-89.67237209420178",""
"2024-03-13 14:55:31","59.87539","102.761314","0.046676677","16701.396","1.0000072","0.06679418","3.2116947","0.061512433","0.043048415","3.1572354","717.29645","3.8264756","2.8826106","16.819885","71","956.31714","10.112026","46.013090639919085","-89.67237606920001",""
"2024-03-13 14:55:33","59.86698","102.73214","0.046663906","16703.715","1.0000073","0.06677564","2.6793149","0.14028159","0.11117811","3.1552317","717.2994","2.9413037","2.2607815","16.798883","71","956.32104","10.11928","46.01309119498714","-89.67237107842197",""
"2024-03-13 14:55:35","59.866188","102.72976","0.046662852","16703.918","1.0000073","0.06677439","2.6039312","0.14754145","0.11408321","3.1550546","717.29767","2.8077273","2.1667552","16.79729","71","956.3188","10.119457","46.013090762437514","-89.67236238733399",""
"2024-03-13 14:55:37","59.87279","102.68793","0.046646565","16698.262","1.0000073","0.06678723","3.0509596","0.045274824","0.038554527","3.1705222","717.31885","1.7531983","1.4248481","16.7962","71","956.3469","10.110808","46.01308980704397","-89.67234945254985",""
"2024-03-13 14:55:39","59.884224","102.72697","0.046663675","16698.396","1.0000074","0.066777706","2.7055633","0.037566744","0.020823719","3.1608891","717.3139","1.1123128","0.97346085","16.78834","71","956.34033","10.101797","46.01309095150392","-89.67234323443168",""
