"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-13 16:46:44"
"Time Offset = -05:00:00"
"Duration = 00:02:50"
"Readings = 86"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804569"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 791538"
""
""
"Date Time","Actual Conductivity (µS/cm) (801689)","Specific Conductivity (µS/cm) (801689)","Salinity (PSU) (801689)","Resistivity (Ω⋅cm) (801689)","Density (g/cm³) (801689)","Total Dissolved Solids (ppt) (801689)","Turbidity (NTU) (805029)","Chlorophyll-a Fluorescence (RFU) (804424)","BGA-PC Fluorescence (RFU) (864349)","Temperature (°C) (804569)","Barometric Pressure (mm Hg) (804569)","Pressure (psi) (785110)","Depth (ft) (785110)","External Voltage (V) (804569)","Battery Capacity (%) (804569)","Barometric Pressure (mbar) (791538)","Temperature (°C) (791538)","Latitude (°)","Longitude (°)","Marked"
"2024-03-13 16:46:44","9.638358","17.592098","0.0066307588","103672.91","0.99992263","0.011442023","1.2233642","0.016627263","1.5384892","1.336283","717.6954","-0.5217272","-0.57676834","0","91","956.849","11.249807","46.013974961867845","-89.6713010688216",""
"2024-03-13 16:46:46","9.575842","17.526596","0.0065983054","104429.71","0.9999189","0.011392288","1.1000664","0.015017413","1.5115585","1.2490017","717.6959","-0.49232346","-0.5084649","0","91","956.84973","11.25","46.01397802126251","-89.67129956007905",""
"2024-03-13 16:46:48","9.775517","17.901741","0.0067459536","102540.91","0.9999187","0.011605072","1.4709885","0.012289551","1.5154096","1.2338339","717.69586","-0.47689986","-0.47260925","0","91","956.8228","11.232093","46.01397961382411","-89.67130274520225",""
"2024-03-13 16:46:50","9.78174","17.918163","0.00677176","102261.875","0.99991804","0.011643054","1.2066969","0.013001782","1.5043474","1.2401469","717.6572","-0.2998968","-0.06831123","0","91","956.7949","11.222048","46.01398020055732","-89.67129771606035",""
"2024-03-13 16:46:52","9.790517","17.934973","0.006780709","102152.25","0.9999179","0.011656025","1.1902432","0.012988549","1.5033098","1.2406772","717.65265","-0.27833202","-0.019035412","0","91","956.7905","11.220154","46.01398049392393","-89.67128874742394",""
"2024-03-13 16:46:54","41.144367","74.613365","0.03317145","29549.633","0.9999512","0.048498493","2.3283432","0.0211572","1.5632079","1.4967656","717.6512","0.14982872","0.9738926","0","91","956.7899","11.229191","46.01396326960477","-89.671278016839",""
"2024-03-13 16:46:56","54.616383","97.13214","0.043803353","20072.576","0.99998754","0.0642118","2.1976862","0.02347068","1.5753064","2.0556886","717.6443","0.6984058","2.240137","0","91","956.7809","11.220931","46.01396884779934","-89.67128366720753",""
"2024-03-13 16:46:58","58.213764","102.22414","0.046270907","17231.887","0.9999941","0.066588216","2.139981","0.027403135","1.515474","2.3495631","717.6564","0.94067806","2.8002214","0","91","956.797","11.211924","46.01397140537129","-89.67127273155218",""
"2024-03-13 16:47:00","58.990086","103.38507","0.046828885","16944.217","0.99999607","0.06727145","2.1212244","0.02792229","1.5083375","2.4054272","717.65753","0.9888671","2.9115307","0","91","956.7986","11.210459","46.01396677175063","-89.67126268947824",""
"2024-03-13 16:47:02","59.35714","103.63507","0.04697198","16847.514","0.9999984","0.06737472","2.3388748","0.027697578","1.4874018","2.5221868","717.62415","1.5190259","4.133031","0","91","956.754","11.200991","46.01396449982418","-89.67126270921786",""
"2024-03-13 16:47:04","59.42199","103.512054","0.046929892","16828.809","0.99999976","0.06728283","2.331507","0.029674828","1.4951248","2.6853142","717.67426","1.875112","5.1516085","0","91","956.82086","11.208988","46.0139645114881","-89.67126274521524",""
"2024-03-13 16:47:06","59.441643","103.50646","0.046929903","16823.207","1","0.0672792","2.3395436","0.029886503","1.4954039","2.708502","717.6788","1.9377091","5.3190966","0","91","956.82684","11.209574","46.01396336480411","-89.67128002872433",""
"2024-03-13 16:47:08","59.43788","103.324326","0.046855994","16824.46","1.0000017","0.06707604","1.8165826","0.034603883","1.5154543","2.7622957","717.6599","2.3988695","6.181862","0","91","956.8017","11.200637","46.01396557632442","-89.6712881497103",""
"2024-03-13 16:47:10","59.436863","103.08598","0.046759613","16824.594","1.0000023","0.066997364","2.52588","0.037162244","1.522127","2.8002346","717.6788","2.8022723","7.102582","0","91","956.8269","11.200159","46.01396640922529","-89.67128319759857",""
"2024-03-13 16:47:12","59.428146","102.98486","0.046717767","16827.05","1.0000026","0.06693708","2.3825839","0.039558377","1.5435026","2.852683","717.64795","3.2038608","8.026209","0","91","956.78577","11.19141","46.01396651066226","-89.67128325313064",""
"2024-03-13 16:47:14","59.42706","102.96448","0.046709403","16827.352","1.0000027","0.066927664","2.3940964","0.03992311","1.546234","2.8601925","717.6451","3.265258","8.167956","0","91","956.7819","11.190383","46.01396439633752","-89.67127413414866",""
"2024-03-13 16:47:16","59.452374","102.914955","0.046692222","16820.186","1.0000032","0.06689472","1.8916798","0.038338732","1.5680661","2.889104","717.6228","4.1868033","10.29504","0","91","956.75226","11.180802","46.01396439633752","-89.67127413414866",""
"2024-03-13 16:47:18","59.45827","102.84234","0.046635944","16825.316","1.0000036","0.06680758","2.3643036","0.07558341","1.5677457","2.9136","717.6214","4.6797714","11.433878","0","91","956.75916","11.180202","46.01396439633752","-89.67127413414866",""
"2024-03-13 16:47:20","59.510532","102.81212","0.046653524","16804.63","1.0000042","0.0668227","2.085575","0.14004624","1.502998","2.9217823","717.621","5.044306","12.275254","0","91","956.7509","11.17151","46.01395723560263","-89.67127517120915",""
"2024-03-13 16:47:22","59.51695","102.805885","0.046653535","16802.37","1.0000043","0.06682129","2.0728452","0.14929548","1.4950554","2.923582","717.621","5.102974","12.410706","0","91","956.7503","11.170485","46.013956727178865","-89.67127648819286",""
"2024-03-13 16:47:24","59.470543","102.649605","0.04658646","16815.137","1.0000046","0.06672173","2.3589752","0.049769074","1.550916","2.9737086","717.63434","5.4285693","13.162915","0","91","956.76776","11.161159","46.01395390157698","-89.67127839062023",""
"2024-03-13 16:47:26","59.45705","102.59286","0.046562336","16822.445","1.000005","0.0666374","2.5940268","0.042463113","1.5589526","2.9855547","717.64197","6.1326885","14.788934","0","91","956.7778","11.160319","46.01395314825837","-89.67127767901442",""
"2024-03-13 16:47:28","59.453587","102.58047","0.04655693","16823.846","1.000005","0.066623725","2.633341","0.037737645","1.5621707","2.9887888","717.6433","6.2264514","15.005472","0","91","956.7796","11.159903","46.01395710135426","-89.67128239400438",""
"2024-03-13 16:47:30","59.440445","102.4474","0.046501532","16823.863","1.0000052","0.066586785","2.7517793","0.15643215","1.5529485","3.0049436","717.6365","6.508081","15.655742","0","91","956.77045","11.16","46.013963096218305","-89.67128647746831",""
"2024-03-13 16:47:32","59.449993","102.45885","0.04650723","16820.941","1.0000052","0.06659718","2.2587435","0.10481221","1.5564672","3.0211096","717.63605","6.7414436","16.194527","0","91","956.7699","11.16","46.013963096218305","-89.67128647746831",""
"2024-03-13 16:47:34","59.447403","102.40473","0.046485","16821.592","1.0000055","0.06656308","3.4185228","0.100349344","1.53763","3.0367806","717.6296","7.4495792","17.829384","0","91","956.7612","11.151514","46.013963096218305","-89.67128647746831",""
"2024-03-13 16:47:36","59.44754","102.39943","0.046482865","16821.553","1.0000055","0.06655963","3.5357234","0.09720441","1.5355814","3.039194","717.6288","7.541281","18.041096","0","91","956.7602","11.15051","46.01396557985693","-89.67128994943396",""
"2024-03-13 16:47:38","59.45402","102.334656","0.046447396","16822.31","1.0000058","0.06650327","2.6132543","0.09897388","1.5306418","3.0615938","717.6285","7.906579","18.884079","0","91","956.76886","11.14106","46.013966406142266","-89.67129252724871",""
"2024-03-13 16:47:40","59.445026","102.285484","0.0464352","16822.568","1.000006","0.0664839","1.9891777","0.14136577","1.5428178","3.065113","717.6284","8.062401","19.243757","0","91","956.76074","11.140295","46.01395923866842","-89.67128984705715",""
"2024-03-13 16:47:42","59.44426","102.27751","0.046432506","16822.623","1.000006","0.066479616","1.877656","0.14628945","1.5440904","3.0663424","717.6284","8.092239","19.312624","0","91","956.7602","11.139871","46.01395923866842","-89.67128984705715",""
"2024-03-13 16:47:44","59.456272","102.28694","0.04643815","16819.092","1.000006","0.06648646","2.1932592","0.09398675","1.573293","3.076439","717.6424","8.543069","20.35346","0","91","956.7784","11.130688","46.01395923866842","-89.67128984705715",""
"2024-03-13 16:47:46","59.449306","102.22349","0.046411667","16821.053","1.0000062","0.066433854","2.46071","0.15667139","1.5904981","3.092129","717.6365","9.340309","22.193981","0","91","956.77045","11.13913","46.01395332470667","-89.67127638520691",""
"2024-03-13 16:47:48","59.428986","102.15493","0.0463816","16826.807","1.0000063","0.066399276","2.0435233","0.1251138","1.5739926","3.0889478","717.63617","9.823662","23.311033","0","91","956.77","11.131118","46.0139590299177","-89.67127187825596",""
"2024-03-13 16:47:50","59.426247","102.14424","0.046376962","16827.582","1.0000063","0.06639307","2.003308","0.124081515","1.57259","3.0891464","717.63586","9.910572","23.511816","0","91","956.7696","11.130543","46.01395727616961","-89.67127021628619",""
